event,location_and_timing
AI 360 Advanced Powered Learning,"The conference will be held on <strong>Friday, 28th February 2025</strong>, from <strong>10:00 AM to 5:00 PM</strong> at <strong>Hyatt Place Pune, Hinjawadi, India</strong>.
            ~<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3781.7333518585947!2d73.73360281131752!3d18.58605646709664!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bc2bbe8789db675%3A0xd4fbe31a328459b1!2sHyatt%20Place%20Pune%20Hinjawadi!5e0!3m2!1sen!2sbd!4v1740394951464!5m2!1sen!2sbd"" width=""250"" height=""200"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
AI Revolutionizing Education Principal Conclave,"The conference will be held on <strong>Sunday, 09th March 2025</strong>, from <strong>10:00 AM to 5:00 PM</strong> at <strong>Clark Awadh, Lucknow, India</strong>.
            ~<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3559.474685348282!2d80.93285021149329!3d26.856655762399154!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x399bfda191fcfed3%3A0x74c7fec476db8591!2sClarks%20Avadh%2C%20Lucknow!5e0!3m2!1sen!2sbd!4v1741265196511!5m2!1sen!2sbd"" width=""250"" height=""200"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
